"Obs","ctb_item_id","ctb_level_id","ctb_answer_key","ctb_objective_id","ctb_objective_title","a_SS","b_SS","c_par"
"1",301154,"A",1,2473,"Sentences, Phrases, Clauses",0.00439,764.320,0.2040
"2",301108,"A",2,2473,"Sentences, Phrases, Clauses",0.00556,594.917,0.2000
"3",300908,"M",2,2473,"Sentences, Phrases, Clauses",0.00727,480.107,0.2000
"4",301168,"A",3,2473,"Sentences, Phrases, Clauses",0.00747,511.103,0.2000
"5",300846,"M",3,2473,"Sentences, Phrases, Clauses",0.00748,458.692,0.2070
"6",301174,"A",2,2473,"Sentences, Phrases, Clauses",0.00755,517.979,0.2000
"7",301004,"D",1,2473,"Sentences, Phrases, Clauses",0.00772,494.819,0.2000
"8",300962,"D",2,2473,"Sentences, Phrases, Clauses",0.00787,509.864,0.2000
"9",300844,"A",1,2473,"Sentences, Phrases, Clauses",0.00817,470.617,0.2000
"10",301080,"A",1,2473,"Sentences, Phrases, Clauses",0.00843,552.350,0.2108
"11",301060,"D",3,2473,"Sentences, Phrases, Clauses",0.00849,467.486,0.2000
"12",300924,"M",2,2473,"Sentences, Phrases, Clauses",0.00907,499.133,0.1951
"13",300864,"M",2,2473,"Sentences, Phrases, Clauses",0.00910,523.981,0.1916
"14",301074,"D",1,2473,"Sentences, Phrases, Clauses",0.00939,513.749,0.2000
"15",300854,"M",1,2473,"Sentences, Phrases, Clauses",0.00942,552.513,0.2171
"16",301022,"D",1,2473,"Sentences, Phrases, Clauses",0.00955,457.701,0.2000
"17",301184,"A",1,2473,"Sentences, Phrases, Clauses",0.00959,535.455,0.1747
"18",300886,"M",4,2473,"Sentences, Phrases, Clauses",0.00966,579.450,0.2133
"19",301034,"D",1,2473,"Sentences, Phrases, Clauses",0.00979,457.192,0.2000
"20",301194,"A",2,2473,"Sentences, Phrases, Clauses",0.00981,517.078,0.2000
"21",300940,"M",1,2473,"Sentences, Phrases, Clauses",0.01017,556.870,0.2190
"22",301158,"A",1,2473,"Sentences, Phrases, Clauses",0.01020,756.116,0.1594
"23",300810,"E",1,2473,"Sentences, Phrases, Clauses",0.01058,456.619,0.2000
"24",300952,"M",2,2473,"Sentences, Phrases, Clauses",0.01073,474.212,0.1930
"25",300872,"M",4,2473,"Sentences, Phrases, Clauses",0.01076,518.366,0.2277
"26",300960,"D",4,2473,"Sentences, Phrases, Clauses",0.01087,561.129,0.1872
"27",300796,"E",2,2473,"Sentences, Phrases, Clauses",0.01093,464.797,0.2000
"28",301182,"A",3,2473,"Sentences, Phrases, Clauses",0.01156,541.061,0.1739
"29",300980,"A",1,2473,"Sentences, Phrases, Clauses",0.01159,469.840,0.2000
"30",301064,"D",1,2473,"Sentences, Phrases, Clauses",0.01162,579.078,0.2146
"31",300902,"M",3,2473,"Sentences, Phrases, Clauses",0.01179,450.877,0.2000
"32",301038,"A",2,2473,"Sentences, Phrases, Clauses",0.01214,592.013,0.2256
"33",301062,"D",2,2473,"Sentences, Phrases, Clauses",0.01222,518.382,0.2129
"34",301050,"D",1,2473,"Sentences, Phrases, Clauses",0.01231,505.097,0.1950
"35",301116,"A",3,2473,"Sentences, Phrases, Clauses",0.01236,511.433,0.1815
"36",301146,"A",3,2473,"Sentences, Phrases, Clauses",0.01263,595.980,0.2409
"37",301084,"A",4,2473,"Sentences, Phrases, Clauses",0.01268,595.129,0.2212
"38",300800,"E",3,2473,"Sentences, Phrases, Clauses",0.01286,467.158,0.1927
"39",301052,"D",3,2473,"Sentences, Phrases, Clauses",0.01292,477.832,0.2000
"40",300802,"E",1,2473,"Sentences, Phrases, Clauses",0.01329,505.584,0.2247
"41",301196,"A",3,2473,"Sentences, Phrases, Clauses",0.01351,535.846,0.1702
"42",300756,"E",1,2473,"Sentences, Phrases, Clauses",0.01372,457.147,0.1983
"43",300938,"M",2,2473,"Sentences, Phrases, Clauses",0.01378,512.910,0.2904
"44",300790,"E",1,2473,"Sentences, Phrases, Clauses",0.01388,425.429,0.2000
"45",300718,"E",1,2473,"Sentences, Phrases, Clauses",0.01391,413.529,0.2000
"46",300936,"M",1,2473,"Sentences, Phrases, Clauses",0.01417,465.099,0.1810
"47",301092,"A",3,2473,"Sentences, Phrases, Clauses",0.01452,511.457,0.2358
"48",300914,"M",3,2473,"Sentences, Phrases, Clauses",0.01475,527.945,0.2004
"49",301160,"A",3,2473,"Sentences, Phrases, Clauses",0.01486,537.278,0.2701
"50",301014,"D",4,2473,"Sentences, Phrases, Clauses",0.01488,482.315,0.1883
