"Obs","ctb_item_id","a_param","b_param","c_param","CTB_OBJECTIVE_ID","new_ctb_obj_id","CTB_PASSAGE_ID","NEW_CTB_PASSAGE_ID","ITEM_ORDER","CTB_OBJECTIVE_TITLE","CTB_LEVEL_ID","CTB_ANSWER_KEY"
"1",00308138,0.00781,701.553,0.2013,3116,3119,035,0,0,"Words in Context","A",4
"2",00308295,0.00893,561.735,0.2000,3116,3119,006,96,1,"Words in Context","A",2
"3",00306759,0.01072,472.575,0.2296,3116,3119,028,121,1,"Words in Context","E",3
"4",00307582,0.01081,510.227,0.2000,3116,3119,018,80,1,"Words in Context","M",4
"5",00308351,0.01157,583.571,0.2337,3116,3119,003,0,0,"Words in Context","A",4
"6",00307877,0.01163,569.068,0.1861,3116,3119,028,60,1,"Words in Context","D",4
"7",00306729,0.01169,501.238,0.1650,3116,3119,009,71,1,"Words in Context","E",4
"8",00306901,0.01216,454.538,0.2369,3116,3119,005,68,1,"Words in Context","E",1
"9",00306777,0.01218,533.854,0.2406,3116,3119,016,79,1,"Words in Context","M",1
"10",00307512,0.01239,480.043,0.1783,3116,3119,025,149,1,"Words in Context","M",1
"11",00306867,0.01267,399.078,0.2168,3116,3119,0,0,0,"Words in Context","E",1
"12",00307634,0.01323,484.274,0.1854,3116,3119,012,107,1,"Words in Context","D",1
"13",00308467,0.01354,531.764,0.2231,3116,3119,002,85,2,"Words in Context","A",3
"14",00308172,0.01428,483.010,0.2000,3116,3119,036,0,0,"Words in Context","A",3
"15",00307636,0.01453,471.818,0.1878,3116,3119,012,106,2,"Words in Context","D",3
"16",00307927,0.01556,501.061,0.1746,3116,3119,030,30,2,"Words in Context","D",1
"17",00307809,0.01779,498.554,0.1928,3116,3119,014,110,1,"Words in Context","D",4
"18",00306689,0.01830,399.113,0.2103,3116,3119,035,129,1,"Words in Context","E",2
"19",00308485,0.01838,572.139,0.3375,3116,3119,004,90,3,"Words in Context","A",3
"20",00308058,0.01907,572.579,0.3049,3116,3119,015,114,2,"Words in Context","D",3
"21",00307354,0.01929,459.631,0.1816,3116,3119,015,15,2,"Words in Context","M",1
"22",00306917,0.01956,440.562,0.2104,3116,3119,020,139,1,"Words in Context","M",1
"23",00306659,0.02069,357.891,0.2000,3116,3119,0,0,0,"Words in Context","E",4
"24",00307013,0.02191,396.577,0.2834,3116,3119,002,2,3,"Words in Context","E",2
"25",00307690,0.02311,527.197,0.2552,3116,3119,022,0,0,"Words in Context","M",1
"26",00307446,0.02397,451.066,0.2659,3116,3119,019,136,1,"Words in Context","M",3
"27",00307514,0.02482,520.836,0.2120,3116,3119,025,150,1,"Words in Context","M",4
"28",00307039,0.02532,493.724,0.2700,3116,3119,036,132,1,"Words in Context","E",1
