"Obs","ctb_item_id","ctb_level_id","ctb_answer_key","ctb_objective_id","ctb_objective_title","a_SS","b_SS","c_par"
"1",301796,"A",2,2475,"Word meaning",0.00627,420.057,0.2000
"2",301404,"E",1,2475,"Word meaning",0.00739,500.483,0.2000
"3",301868,"A",1,2475,"Word meaning",0.00840,446.098,0.2000
"4",301466,"E",3,2475,"Word meaning",0.01019,412.397,0.2000
"5",301784,"A",4,2475,"Word meaning",0.01106,514.175,0.1878
"6",301540,"M",1,2475,"Word meaning",0.01115,553.859,0.1677
"7",301846,"A",3,2475,"Word meaning",0.01129,441.025,0.2000
"8",301590,"M",4,2475,"Word meaning",0.01140,429.234,0.2000
"9",301736,"D",1,2475,"Word meaning",0.01185,477.508,0.2067
"10",301670,"D",3,2475,"Word meaning",0.01213,475.405,0.2000
"11",301604,"M",3,2475,"Word meaning",0.01272,497.395,0.2115
"12",301728,"D",1,2475,"Word meaning",0.01296,466.009,0.2000
"13",301718,"D",1,2475,"Word meaning",0.01298,509.300,0.2296
"14",301858,"A",2,2475,"Word meaning",0.01326,578.070,0.2853
"15",301478,"E",2,2475,"Word meaning",0.01330,395.934,0.2054
"16",301864,"A",3,2475,"Word meaning",0.01344,434.370,0.2000
"17",301656,"D",4,2475,"Word meaning",0.01369,492.010,0.1932
"18",301592,"M",3,2475,"Word meaning",0.01370,486.212,0.2002
"19",301672,"D",2,2475,"Word meaning",0.01375,414.992,0.2000
"20",301866,"A",4,2475,"Word meaning",0.01410,548.277,0.1524
"21",301802,"A",3,2475,"Word meaning",0.01417,413.032,0.2000
"22",301400,"E",3,2475,"Word meaning",0.01423,361.736,0.2000
"23",301528,"M",3,2475,"Word meaning",0.01454,391.844,0.2000
"24",301470,"E",1,2475,"Word meaning",0.01484,395.346,0.2000
"25",301482,"E",1,2475,"Word meaning",0.01485,406.969,0.2000
"26",301462,"E",3,2475,"Word meaning",0.01491,492.401,0.2781
"27",301606,"M",4,2475,"Word meaning",0.01497,495.355,0.2046
"28",301480,"E",3,2475,"Word meaning",0.01525,373.510,0.2076
"29",301862,"A",2,2475,"Word meaning",0.01531,554.919,0.3423
"30",301534,"M",2,2475,"Word meaning",0.01533,429.564,0.2000
"31",301856,"A",2,2475,"Word meaning",0.01568,563.114,0.2734
"32",301598,"M",4,2475,"Word meaning",0.01585,419.659,0.2000
"33",301464,"E",4,2475,"Word meaning",0.01587,380.166,0.2000
"34",301398,"E",1,2475,"Word meaning",0.01635,378.575,0.2000
"35",301804,"A",1,2475,"Word meaning",0.01646,568.302,0.2091
"36",301546,"M",2,2475,"Word meaning",0.01654,454.251,0.2000
"37",301662,"D",3,2475,"Word meaning",0.01660,472.369,0.2000
"38",301414,"E",4,2475,"Word meaning",0.01678,430.522,0.2384
"39",301538,"M",3,2475,"Word meaning",0.01699,430.483,0.2000
"40",301792,"A",2,2475,"Word meaning",0.01731,614.900,0.3136
"41",301408,"E",3,2475,"Word meaning",0.01761,449.708,0.2294
"42",301530,"M",1,2475,"Word meaning",0.01790,402.549,0.2000
"43",301416,"E",1,2475,"Word meaning",0.01801,351.389,0.1999
"44",301600,"M",2,2475,"Word meaning",0.01818,436.484,0.2000
"45",301790,"A",3,2475,"Word meaning",0.01822,464.623,0.2746
"46",301594,"M",1,2475,"Word meaning",0.01832,378.675,0.2055
"47",301542,"M",3,2475,"Word meaning",0.01837,420.725,0.1968
"48",301474,"E",1,2475,"Word meaning",0.01850,488.060,0.2623
"49",301732,"D",2,2475,"Word meaning",0.01891,447.525,0.2000
"50",301544,"M",3,2475,"Word meaning",0.01899,489.190,0.2190
"51",301798,"A",3,2475,"Word meaning",0.01909,548.520,0.2527
"52",301476,"E",1,2475,"Word meaning",0.01922,433.191,0.2497
"53",301730,"D",1,2475,"Word meaning",0.01980,420.782,0.1923
"54",301412,"E",1,2475,"Word meaning",0.01985,419.660,0.2313
"55",301726,"D",4,2475,"Word meaning",0.02012,484.704,0.2227
"56",301738,"D",4,2475,"Word meaning",0.02013,438.862,0.2000
"57",301734,"D",1,2475,"Word meaning",0.02023,503.408,0.2448
"58",301610,"M",1,2475,"Word meaning",0.02030,439.783,0.2118
"59",301484,"E",3,2475,"Word meaning",0.02114,410.526,0.2478
"60",301676,"D",4,2475,"Word meaning",0.02169,442.447,0.2000
"61",301722,"D",1,2475,"Word meaning",0.02217,461.796,0.1752
"62",301724,"D",2,2475,"Word meaning",0.02238,526.418,0.3477
"63",301410,"E",2,2475,"Word meaning",0.02239,504.437,0.2778
"64",301852,"A",4,2475,"Word meaning",0.02344,604.551,0.2477
"65",301800,"A",3,2475,"Word meaning",0.02648,619.047,0.2495
"66",301668,"D",3,2475,"Word meaning",0.02700,594.237,0.2519
"67",301878,"A",1,2476,"Multimeaning words",0.00663,571.401,0.2000
"68",301872,"A",4,2476,"Multimeaning words",0.00913,468.064,0.1837
"69",301680,"D",4,2476,"Multimeaning words",0.01097,483.123,0.2044
"70",301870,"A",3,2476,"Multimeaning words",0.01126,452.374,0.2000
"71",301810,"A",2,2476,"Multimeaning words",0.01163,420.459,0.2000
"72",301624,"M",2,2476,"Multimeaning words",0.01198,524.295,0.2607
"73",301490,"E",2,2476,"Multimeaning words",0.01244,410.352,0.2000
"74",301874,"A",2,2476,"Multimeaning words",0.01270,478.739,0.1879
"75",301492,"E",1,2476,"Multimeaning words",0.01276,372.856,0.2000
"76",301430,"E",2,2476,"Multimeaning words",0.01285,404.845,0.2000
"77",301750,"D",3,2476,"Multimeaning words",0.01434,602.431,0.2121
"78",301686,"D",3,2476,"Multimeaning words",0.01541,443.568,0.2000
"79",301622,"M",1,2476,"Multimeaning words",0.01561,442.534,0.2000
"80",301614,"M",1,2476,"Multimeaning words",0.01594,493.028,0.2159
"81",301426,"E",3,2476,"Multimeaning words",0.01611,408.061,0.2036
"82",301618,"M",2,2476,"Multimeaning words",0.01642,419.843,0.2029
"83",301552,"M",1,2476,"Multimeaning words",0.01647,428.677,0.2000
"84",301812,"A",4,2476,"Multimeaning words",0.01693,576.954,0.2551
"85",301560,"M",3,2476,"Multimeaning words",0.01703,488.912,0.2082
"86",301550,"M",2,2476,"Multimeaning words",0.01734,444.654,0.2045
"87",301556,"M",4,2476,"Multimeaning words",0.01745,460.037,0.1858
"88",301422,"E",1,2476,"Multimeaning words",0.01803,381.074,0.2000
"89",301748,"D",1,2476,"Multimeaning words",0.01872,615.178,0.2152
"90",301688,"D",1,2476,"Multimeaning words",0.01941,562.040,0.3384
"91",301488,"E",2,2476,"Multimeaning words",0.01948,440.521,0.2075
"92",301424,"E",4,2476,"Multimeaning words",0.01975,433.009,0.2210
